"incident_key","occur_date","occur_time","boro","loc_of_occur_desc","precinct","jurisdiction_code","loc_classfctn_desc","location_desc","x_coord_cd","y_coord_cd","latitude","longitude"
"297623042","2024-12-06T00:00:00.000","13:06:00","MANHATTAN","OUTSIDE","1","0","STREET",,"983437","201643","40.720149","-74.002931"
"73794477","2010-07-21T00:00:00.000","01:32:00","MANHATTAN","OUTSIDE","1","0","STREET","BAR/NIGHT CLUB","982761","204594","40.728241","-74.00537"
"242784290","2022-03-28T00:00:00.000","22:18:00","MANHATTAN","OUTSIDE","5","0","STREET","MULTI DWELL - APT BUILD","984732","200728","40.717629","-73.99826"
"24449553","2006-09-23T00:00:00.000","00:02:00","MANHATTAN","OUTSIDE","5","0","STREET",,"986929","202081","40.721343","-73.990335"
"64318199","2009-08-02T00:00:00.000","01:44:00","MANHATTAN","OUTSIDE","5","2","HOUSING","MULTI DWELL - PUBLIC HOUS","986577","200423","40.716801","-73.991606"
"11118235","2006-04-26T00:00:00.000","21:05:00","MANHATTAN","OUTSIDE","6","0","STREET",,"982301","204919","40.729142","-74.007033"
"235033374","2021-10-15T00:00:00.000","20:30:00","MANHATTAN","OUTSIDE","7","0","STREET",,"987969","200865","40.71800393","-73.98658398"
"52144006","2008-10-10T00:00:00.000","01:38:00","MANHATTAN","OUTSIDE","7","2","HOUSING","MULTI DWELL - PUBLIC HOUS","989248","198472","40.711446","-73.98197"
"37401695","2008-01-01T00:00:00.000","05:12:00","MANHATTAN","OUTSIDE","7","2","HOUSING","MULTI DWELL - PUBLIC HOUS","989138","199179","40.713385","-73.982369"
"16631507","2006-05-31T00:00:00.000","21:16:00","MANHATTAN","OUTSIDE","7","2","HOUSING","MULTI DWELL - APT BUILD","989248","198472","40.711446","-73.98197"
"60272797","2009-04-04T00:00:00.000","03:06:00","MANHATTAN","OUTSIDE","7","0","HOUSING","MULTI DWELL - PUBLIC HOUS","987481","198515","40.711564","-73.988344"
"236170275","2021-11-11T00:00:00.000","20:17:00","MANHATTAN","OUTSIDE","7","2","HOUSING","MULTI DWELL - PUBLIC HOUS","989138","199179","40.713377","-73.982368"
"93525204","2013-11-10T00:00:00.000","23:30:00","MANHATTAN","OUTSIDE","9","0","STREET",,"990451","201401","40.719482","-73.977629"
"47334459","2008-06-18T00:00:00.000","19:50:00","MANHATTAN","OUTSIDE","9","0","STREET",,"989807","202534","40.722593","-73.97995"
"45218810","2008-04-03T00:00:00.000","19:17:00","MANHATTAN","OUTSIDE","9","0","HOUSING","MULTI DWELL - PUBLIC HOUS","990788","204295","40.727419","-73.976409"
"82122314","2011-12-10T00:00:00.000","00:13:00","MANHATTAN","OUTSIDE","9","2","HOUSING","MULTI DWELL - PUBLIC HOUS","990377","204681","40.728477","-73.977891"
"219687217","2020-10-23T00:00:00.000","23:15:00","MANHATTAN","OUTSIDE","10","2","HOUSING","MULTI DWELL - PUBLIC HOUS","983746","211928","40.748379","-74.001818"
"87931467","2012-12-01T00:00:00.000","04:09:00","MANHATTAN","OUTSIDE","10","0","STREET",,"985696","211733","40.747837","-73.994778"
"254053456","2022-11-13T00:00:00.000","03:33:00","MANHATTAN","OUTSIDE","13","0","STREET","COMMERCIAL BLDG","985850","210155","40.743504","-73.994224"
"153415475","2016-05-25T00:00:00.000","22:15:00","MANHATTAN","INSIDE","13","0","COMMERCIAL","BAR/NIGHT CLUB","987561","207048","40.734984","-73.988053"
"214690556","2020-06-26T00:00:00.000","00:30:00","MANHATTAN","OUTSIDE","13","0","STREET",,"987583","210248","40.743758","-73.98797"
"263349965","2023-02-09T00:00:00.000","17:37:00","MANHATTAN","OUTSIDE","14","0","STREET",,"985764","213806",,
"244608249","2022-05-05T00:00:00.000","00:10:00","MANHATTAN","INSIDE","14","0","COMMERCIAL","VIDEO STORE","986050","214231","40.754692","-73.9935"
"316522914","2025-11-23T00:00:00.000","04:15:00","MANHATTAN","OUTSIDE","18","0","STREET",,"984643","217725","40.7642812","-73.99858129"
"24814509","2006-10-16T00:00:00.000","02:30:00","MANHATTAN","OUTSIDE","18","0","STREET",,"985370","216721","40.761534","-73.995958"
"208393713","2020-01-23T00:00:00.000","01:20:00","MANHATTAN","OUTSIDE","18","0","VEHICLE",,"986131","218089","40.765291","-73.993211"
"165101461","2017-05-23T00:00:00.000","20:03:00","MANHATTAN","INSIDE","18","0","COMMERCIAL","RESTAURANT/DINER","987093","218898","40.76751","-73.989736"
"239861893","2022-01-29T00:00:00.000","04:05:00","MANHATTAN","INSIDE","18","0","COMMERCIAL","BAR/NIGHT CLUB","984966","217543","40.763784","-73.997415"
"201034736","2019-08-12T00:00:00.000","03:10:00","MANHATTAN","OUTSIDE","20","2","HOUSING","MULTI DWELL - PUBLIC HOUS","987917","221312","40.774136","-73.98676"
"10187490","2006-01-17T00:00:00.000","21:47:00","MANHATTAN","INSIDE","20","0","COMMERCIAL","FAST FOOD","989610","224478","40.782817","-73.980642"
"86107852","2012-08-05T00:00:00.000","23:30:00","MANHATTAN","OUTSIDE","20","2","HOUSING","MULTI DWELL - PUBLIC HOUS","987554","221220","40.773874","-73.988068"
"285094095","2024-04-10T00:00:00.000","03:20:00","MANHATTAN","INSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1000654","228899","40.794945","-73.940754"
"24856701","2006-10-18T00:00:00.000","12:50:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001038","226536","40.788459","-73.939373"
"23354074","2006-07-02T00:00:00.000","03:20:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1000086","229653","40.797017","-73.942803"
"81199646","2011-10-14T00:00:00.000","20:53:00","MANHATTAN","OUTSIDE","23","0","STREET","MULTI DWELL - PUBLIC HOUS","999242","227082","40.789959","-73.945857"
"139686189","2014-11-15T00:00:00.000","17:58:00","MANHATTAN","OUTSIDE","23","2","HOUSING",,"1000846","226964","40.78962425","-73.94006674"
"76601148","2010-12-26T00:00:00.000","01:30:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","998191","227814","40.791971","-73.949654"
"75652548","2010-11-21T00:00:00.000","01:10:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","997971","226889","40.789433","-73.950451"
"63885692","2009-07-19T00:00:00.000","04:40:00","MANHATTAN","OUTSIDE","23","0","STREET",,"999569","227672","40.79156983","-73.94467676"
"64452257","2009-08-06T00:00:00.000","13:26:00","MANHATTAN","OUTSIDE","23","0","STREET",,"999746","225754","40.786315","-73.94404"
"64248604","2009-07-30T00:00:00.000","15:25:00","MANHATTAN","INSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001026","228838","40.794778","-73.939411"
"143907467","2015-06-22T00:00:00.000","23:45:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","999464","226504","40.788374","-73.945059"
"94923071","2014-02-14T00:00:00.000","02:06:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","999192","230148","40.798377","-73.946031"
"90938205","2013-06-02T00:00:00.000","13:24:00","MANHATTAN","OUTSIDE","23","0","HOUSING","MULTI DWELL - PUBLIC HOUS","1001038","226536","40.788459","-73.939373"
"91733357","2013-07-21T00:00:00.000","04:39:00","MANHATTAN","OUTSIDE","23","0","STREET","RESTAURANT/DINER","999706","228966","40.795122","-73.944177"
"86874696","2012-09-21T00:00:00.000","20:51:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001932","228925","40.795005","-73.936137"
"203348701","2019-10-06T00:00:00.000","21:54:00","MANHATTAN","OUTSIDE","23","0","STREET",,"999210","227548","40.79124","-73.945972"
"169326573","2017-09-13T00:00:00.000","22:04:00","MANHATTAN","OUTSIDE","23","0","STREET",,"999194","229090","40.7954625","-73.94602789"
"166413154","2017-06-25T00:00:00.000","02:02:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","998191","227814","40.791971","-73.949654"
